resource_path,id_slug,monster_name,element,faction,max_health,model_scene_path,behavior_tree_scene_path,skill_paths,skill_names,base_phys_atk,phys_atk_growth,base_phys_def,phys_def_growth,base_mag_power,mag_power_growth,base_mag_resist,mag_resist_growth,base_speed,speed_growth
res://resources/monster/fishingspot_shenyuanyumo.tres,fishingspot_shenyuanyumo,深渊鱼魔,3,0,135,,,res://resources/combat_skills/water_magic_hanxiyin.tres;res://resources/combat_skills/water_magic_langjue.tres;res://resources/combat_skills/water_phys_hongtaoxijuanlai.tres;res://resources/combat_skills/water_phys_langji.tres;res://resources/combat_skills/water_phys_liubozhuang.tres;res://resources/combat_skills/water_phys_shuiji.tres,寒汐引;浪决;洪涛席卷来;浪击;流波撞;水击,110.0,20.0,200.0,24.0,170.0,28.0,260.0,32.0,125.0,5.5
res://resources/monster/fishingspot_shiyuyao.tres,fishingspot_shiyuyao,噬鱼妖,3,0,100,,,,,80.0,20.0,120.0,24.0,130.0,28.0,180.0,32.0,120.0,5.5
res://resources/monster/golddeposit_jingjinyanguai.tres,golddeposit_jingjinyanguai,晶金岩怪,2,0,135,,,res://resources/combat_skills/metal_magic_suixingjue.tres;res://resources/combat_skills/metal_magic_xuanjinzhenshenhun.tres;res://resources/combat_skills/metal_phys_jinji.tres;res://resources/combat_skills/metal_phys_liejinzhan.tres;res://resources/combat_skills/metal_phys_qianfengpodishi.tres,碎星诀;玄金镇神魂;金击;裂金斩;千锋破敌势,160.0,28.0,320.0,36.0,80.0,15.0,200.0,24.0,100.0,4.0
res://resources/monster/golddeposit_liujinhuanshou.tres,golddeposit_liujinhuanshou,鎏金幻兽,2,0,120,,,res://resources/combat_skills/metal_magic_ruimang.tres;res://resources/combat_skills/metal_magic_suixingjue.tres;res://resources/combat_skills/metal_magic_xuanjinzhenshenhun.tres;res://resources/combat_skills/metal_phys_jinji.tres,锐芒;碎星诀;玄金镇神魂;金击,160.0,28.0,240.0,36.0,60.0,15.0,160.0,24.0,95.0,4.0
res://resources/monster/golddeposit_suijingshoucaishou.tres,golddeposit_suijingshoucaishou,碎金守财兽,2,0,170,,,res://resources/combat_skills/metal_magic_xuanjinzhenshenhun.tres;res://resources/combat_skills/metal_phys_jinji.tres;res://resources/combat_skills/metal_phys_liejinzhan.tres;res://resources/combat_skills/metal_phys_qianfengpodishi.tres;res://resources/combat_skills/metal_phys_qiege.tres;res://resources/combat_skills/metal_phys_ruifengji.tres,玄金镇神魂;金击;裂金斩;千锋破敌势;切割;锐锋击,200.0,28.0,400.0,36.0,,15.0,260.0,24.0,102.0,4.0
res://resources/monster/iceberg_binglenghanshou.tres,iceberg_binglenghanshou,冰棱寒兽,3,0,110,,,res://resources/combat_skills/water_magic_hanxiyin.tres;res://resources/combat_skills/water_magic_langjue.tres;res://resources/combat_skills/water_magic_ningshuijue.tres;res://resources/combat_skills/water_magic_shuishu.tres,寒汐引;浪决;凝水诀;水术,90.0,20.0,120.0,24.0,110.0,28.0,220.0,32.0,118.0,5.5
res://resources/monster/iceberg_dongjingmoxiang.tres,iceberg_dongjingmoxiang,冻晶魔像,3,0,115,,,res://resources/combat_skills/water_magic_langjue.tres;res://resources/combat_skills/water_magic_ningshuijue.tres;res://resources/combat_skills/water_magic_shuishu.tres;res://resources/combat_skills/water_magic_xuanshuimielingtai.tres;res://resources/combat_skills/water_magic_yanyusuoqianchuan.tres,浪决;凝水诀;水术;玄水灭灵台;烟雨锁千川,90.0,20.0,240.0,24.0,150.0,28.0,220.0,32.0,115.0,5.5
res://resources/monster/iceberg_hanshuangbingpo.tres,iceberg_hanshuangbingpo,寒霜冰魄,3,0,135,,,res://resources/combat_skills/water_magic_ningshuijue.tres;res://resources/combat_skills/water_magic_shuishu.tres;res://resources/combat_skills/water_magic_xuanshuimielingtai.tres;res://resources/combat_skills/water_magic_yanyusuoqianchuan.tres;res://resources/combat_skills/water_phys_canghaifufanchen.tres;res://resources/combat_skills/water_phys_hanlangchong.tres,凝水诀;水术;玄水灭灵台;烟雨锁千川;沧海覆凡尘;寒浪冲,110.0,20.0,200.0,24.0,150.0,28.0,340.0,32.0,131.0,5.5
res://resources/monster/irondeposit_heitiezhanshou.tres,irondeposit_heitiezhanshou,黑铁战兽,2,0,155,,,res://resources/combat_skills/metal_magic_liuguangzhou.tres;res://resources/combat_skills/metal_magic_ruimang.tres;res://resources/combat_skills/metal_magic_suixingjue.tres;res://resources/combat_skills/metal_magic_xuanjinzhenshenhun.tres;res://resources/combat_skills/metal_phys_jinji.tres;res://resources/combat_skills/metal_phys_liejinzhan.tres,鎏光咒;锐芒;碎星诀;玄金镇神魂;金击;裂金斩,200.0,28.0,320.0,36.0,,15.0,240.0,24.0,105.0,4.0
res://resources/monster/irondeposit_kuangtiekuilai.tres,irondeposit_kuangtiekuilai,矿铁傀儡,2,0,125,,,,,160.0,28.0,360.0,36.0,80.0,15.0,200.0,24.0,95.0,4.0
res://resources/monster/irondeposit_tielinmo.tres,irondeposit_tielinmo,铁鳞魔,2,0,110,,,res://resources/combat_skills/metal_magic_jinmangfubafang.tres;res://resources/combat_skills/metal_magic_jinshu.tres;res://resources/combat_skills/metal_magic_liuguangzhou.tres;res://resources/combat_skills/metal_phys_suitiekuangji.tres,金芒覆八方;金术;鎏光咒;碎铁狂击,140.0,28.0,240.0,36.0,80.0,15.0,160.0,24.0,95.0,4.0
res://resources/monster/lake_bibolinggui.tres,lake_bibolinggui,碧波灵龟,3,0,115,,,res://resources/combat_skills/water_magic_hanxiyin.tres;res://resources/combat_skills/water_magic_langjue.tres;res://resources/combat_skills/water_magic_ningshuijue.tres;res://resources/combat_skills/water_phys_liubozhuang.tres;res://resources/combat_skills/water_phys_shuiji.tres,寒汐引;浪决;凝水诀;流波撞;水击,90.0,20.0,220.0,24.0,140.0,28.0,280.0,32.0,115.0,5.5
res://resources/monster/lake_hudiyouying.tres,lake_hudiyouying,湖底幽影,3,0,100,,,res://resources/combat_skills/water_magic_hanxiyin.tres;res://resources/combat_skills/water_phys_langji.tres;res://resources/combat_skills/water_phys_liubozhuang.tres;res://resources/combat_skills/water_phys_shuiji.tres,寒汐引;浪击;流波撞;水击,70.0,20.0,120.0,24.0,110.0,28.0,220.0,32.0,120.0,5.5
res://resources/monster/lake_huxinshuiyan.tres,lake_huxinshuiyan,湖心水魇,3,0,135,,,res://resources/combat_skills/water_magic_hanxiyin.tres;res://resources/combat_skills/water_magic_langjue.tres;res://resources/combat_skills/water_magic_ningshuijue.tres;res://resources/combat_skills/water_magic_shuishu.tres;res://resources/combat_skills/water_magic_xuanshuimielingtai.tres;res://resources/combat_skills/water_phys_shuiji.tres,寒汐引;浪决;凝水诀;水术;玄水灭灵台;水击,110.0,20.0,200.0,24.0,150.0,28.0,260.0,32.0,125.0,5.5
res://resources/monster/lavalake_chiyanrongshou.tres,lavalake_chiyanrongshou,赤焰熔兽,5,0,150,,,res://resources/combat_skills/fire_magic_jinhuoyin.tres;res://resources/combat_skills/fire_magic_lieyantunbafang.tres;res://resources/combat_skills/fire_magic_ranhunzhou.tres;res://resources/combat_skills/fire_magic_shenhuolianfanqu.tres;res://resources/combat_skills/fire_phys_chiyanfencangqiong.tres;res://resources/combat_skills/fire_phys_lieyanquan.tres,烬火引;烈焰吞八方;燃魂咒;神火炼凡躯;赤焰焚苍穹;烈炎拳,170.0,25.0,220.0,24.0,190.0,32.0,220.0,20.0,120.0,5.0
res://resources/monster/lavalake_ronghuoyanxi.tres,lavalake_ronghuoyanxi,熔火岩蜥,5,0,115,,,res://resources/combat_skills/fire_magic_fenzhuo.tres;res://resources/combat_skills/fire_magic_huoshu.tres;res://resources/combat_skills/fire_magic_ranhunzhou.tres;res://resources/combat_skills/fire_phys_huoji.tres,焚灼;火术;燃魂咒;火击,120.0,25.0,180.0,24.0,150.0,32.0,140.0,20.0,117.0,5.0
res://resources/monster/lavalake_yanliumohun.tres,lavalake_yanliumohun,炎流魔魂,5,0,120,,,,,120.0,,140.0,24.0,200.0,32.0,180.0,,115.0,
res://resources/monster/merchant_heishihuwei.tres,merchant_heishihuwei,黑市护卫,2,0,125,,,res://resources/combat_skills/metal_phys_liejinzhan.tres;res://resources/combat_skills/metal_phys_qianfengpodishi.tres;res://resources/combat_skills/metal_phys_qiege.tres;res://resources/combat_skills/metal_phys_ruifengji.tres;res://resources/combat_skills/metal_phys_suitiekuangji.tres,裂金斩;千锋破敌势;切割;锐锋击;碎铁狂击,140.0,28.0,300.0,36.0,80.0,15.0,240.0,24.0,95.0,4.0
res://resources/monster/merchant_heixinyongbing.tres,merchant_heixinyongbing,黑心佣兵,4,0,155,,,res://resources/combat_skills/earth_magic_houtufenglingmai.tres;res://resources/combat_skills/earth_magic_shachenlongtiandi.tres;res://resources/combat_skills/earth_phys_panshizhuang.tres;res://resources/combat_skills/earth_phys_tuji.tres;res://resources/combat_skills/earth_phys_yanbeng.tres;res://resources/combat_skills/earth_phys_yanbengji.tres;res://resources/combat_skills/metal_phys_qiege.tres,厚土封灵脉;沙尘笼天地;磐石撞;土击;岩崩;岩崩击;切割,130.0,20.0,320.0,40.0,110.0,20.0,300.0,36.0,95.0,3.5
res://resources/monster/merchant_youdangdaofei.tres,merchant_youdangdaofei,游荡盗匪,2,0,110,,,res://resources/combat_skills/metal_phys_jinji.tres;res://resources/combat_skills/metal_phys_liejinzhan.tres;res://resources/combat_skills/metal_phys_qianfengpodishi.tres;res://resources/combat_skills/metal_phys_qiege.tres,金击;裂金斩;千锋破敌势;切割,120.0,28.0,200.0,36.0,60.0,15.0,160.0,24.0,95.0,4.0
res://resources/monster/river_hezhaoshuiguai.tres,river_hezhaoshuiguai,河沼水怪,3,0,115,,,res://resources/combat_skills/water_magic_xuanshuimielingtai.tres;res://resources/combat_skills/water_magic_yanyusuoqianchuan.tres;res://resources/combat_skills/water_phys_canghaifufanchen.tres;res://resources/combat_skills/water_phys_hanlangchong.tres;res://resources/combat_skills/water_phys_hongtaoxijuanlai.tres,玄水灭灵台;烟雨锁千川;沧海覆凡尘;寒浪冲;洪涛席卷来,90.0,20.0,160.0,24.0,130.0,28.0,220.0,32.0,120.0,5.5
res://resources/monster/river_jiliuyoujiao.tres,river_jiliuyoujiao,激流游蛟,3,0,100,,,res://resources/combat_skills/water_magic_shuishu.tres;res://resources/combat_skills/water_magic_xuanshuimielingtai.tres;res://resources/combat_skills/water_magic_yanyusuoqianchuan.tres;res://resources/combat_skills/water_phys_canghaifufanchen.tres,水术;玄水灭灵台;烟雨锁千川;沧海覆凡尘,80.0,20.0,120.0,24.0,110.0,28.0,180.0,32.0,122.0,5.5
res://resources/monster/river_zhulangshuiling.tres,river_zhulangshuiling,逐浪水灵,3,0,135,,,res://resources/combat_skills/water_magic_yanyusuoqianchuan.tres;res://resources/combat_skills/water_phys_canghaifufanchen.tres;res://resources/combat_skills/water_phys_hanlangchong.tres;res://resources/combat_skills/water_phys_hongtaoxijuanlai.tres;res://resources/combat_skills/water_phys_langji.tres;res://resources/combat_skills/water_phys_liubozhuang.tres,烟雨锁千川;沧海覆凡尘;寒浪冲;洪涛席卷来;浪击;流波撞,110.0,20.0,200.0,24.0,160.0,28.0,260.0,32.0,130.0,5.5
res://resources/monster/rockwall_lieyanjuling.tres,rockwall_lieyanjuling,裂岩巨灵,4,0,190,,,res://resources/combat_skills/earth_magic_shixiao.tres;res://resources/combat_skills/earth_magic_tushu.tres;res://resources/combat_skills/earth_magic_zhentujue.tres;res://resources/combat_skills/earth_magic_zhuoyanyin.tres;res://resources/combat_skills/earth_phys_chenyansuiqianjun.tres;res://resources/combat_skills/earth_phys_houtuzhensifang.tres;res://resources/combat_skills/fire_phys_lieyanquan.tres,石啸;土术;镇土诀;浊岩引;沉岩碎千钧;厚土镇四方;烈炎拳,150.0,20.0,360.0,40.0,120.0,20.0,300.0,36.0,95.0,3.5
res://resources/monster/rockwall_shijiashouwei.tres,rockwall_shijiashouwei,石甲守卫,4,0,145,,,res://resources/combat_skills/earth_magic_shachenlongtiandi.tres;res://resources/combat_skills/earth_magic_shixiao.tres;res://resources/combat_skills/earth_magic_tushu.tres;res://resources/combat_skills/earth_magic_zhentujue.tres;res://resources/combat_skills/earth_phys_yanbengji.tres,沙尘笼天地;石啸;土术;镇土诀;岩崩击,110.0,20.0,420.0,40.0,90.0,20.0,320.0,36.0,82.0,3.5
res://resources/monster/rockwall_yankeshou.tres,rockwall_yankeshou,岩壳兽,4,0,140,,,res://resources/combat_skills/earth_magic_houtufenglingmai.tres;res://resources/combat_skills/earth_magic_shachenlongtiandi.tres;res://resources/combat_skills/earth_magic_shixiao.tres;res://resources/combat_skills/earth_phys_yanbeng.tres,厚土封灵脉;沙尘笼天地;石啸;岩崩,110.0,20.0,280.0,40.0,70.0,20.0,220.0,36.0,85.0,3.5
res://resources/monster/sandpile_huangmoshaxingshou.tres,sandpile_huangmoshaxingshou,荒漠沙行兽,4,0,145,,,res://resources/combat_skills/earth_phys_chenyansuiqianjun.tres;res://resources/combat_skills/earth_phys_houtuzhensifang.tres;res://resources/combat_skills/earth_phys_panshizhuang.tres;res://resources/combat_skills/earth_phys_tuji.tres;res://resources/combat_skills/earth_phys_yanbeng.tres,沉岩碎千钧;厚土镇四方;磐石撞;土击;岩崩,130.0,20.0,280.0,40.0,90.0,20.0,260.0,36.0,90.0,3.5
res://resources/monster/sandpile_huangshayanyinshou.tres,sandpile_huangshayanyinshou,黄沙岩隐兽,4,0,175,,,res://resources/combat_skills/earth_magic_houtufenglingmai.tres;res://resources/combat_skills/earth_phys_houtuzhensifang.tres;res://resources/combat_skills/earth_phys_panshizhuang.tres;res://resources/combat_skills/earth_phys_tuji.tres;res://resources/combat_skills/earth_phys_yanbeng.tres;res://resources/combat_skills/earth_phys_yanbengji.tres,厚土封灵脉;厚土镇四方;磐石撞;土击;岩崩;岩崩击,150.0,20.0,360.0,40.0,110.0,20.0,300.0,36.0,95.0,3.5
res://resources/monster/sandpile_liushashaxie.tres,sandpile_liushashaxie,流沙沙蝎,4,0,120,,,res://resources/combat_skills/earth_magic_zhuoyanyin.tres;res://resources/combat_skills/earth_phys_chenyansuiqianjun.tres;res://resources/combat_skills/earth_phys_houtuzhensifang.tres;res://resources/combat_skills/earth_phys_panshizhuang.tres,浊岩引;沉岩碎千钧;厚土镇四方;磐石撞,110.0,20.0,240.0,40.0,70.0,20.0,220.0,36.0,88.0,3.5
res://resources/monster/snowpile_hanshuangxueguai.tres,snowpile_hanshuangxueguai,寒霜雪怪,3,0,115,,,res://resources/combat_skills/water_magic_xuanshuimielingtai.tres;res://resources/combat_skills/water_magic_yanyusuoqianchuan.tres;res://resources/combat_skills/water_phys_canghaifufanchen.tres;res://resources/combat_skills/water_phys_hanlangchong.tres;res://resources/combat_skills/water_phys_hongtaoxijuanlai.tres,玄水灭灵台;烟雨锁千川;沧海覆凡尘;寒浪冲;洪涛席卷来,90.0,20.0,160.0,24.0,130.0,28.0,300.0,32.0,126.0,5.5
res://resources/monster/snowpile_linfengxueyao.tres,snowpile_linfengxueyao,凛风雪妖,3,0,135,,,res://resources/combat_skills/water_magic_yanyusuoqianchuan.tres;res://resources/combat_skills/water_phys_canghaifufanchen.tres;res://resources/combat_skills/water_phys_hanlangchong.tres;res://resources/combat_skills/water_phys_hongtaoxijuanlai.tres;res://resources/combat_skills/water_phys_langji.tres;res://resources/combat_skills/water_phys_liubozhuang.tres,烟雨锁千川;沧海覆凡尘;寒浪冲;洪涛席卷来;浪击;流波撞,110.0,20.0,200.0,24.0,160.0,28.0,300.0,32.0,133.0,5.5
res://resources/monster/snowpile_xueyuanxuerongshou.tres,snowpile_xueyuanxuerongshou,雪原雪绒兽,3,0,110,,,res://resources/combat_skills/water_magic_shuishu.tres;res://resources/combat_skills/water_magic_xuanshuimielingtai.tres;res://resources/combat_skills/water_magic_yanyusuoqianchuan.tres;res://resources/combat_skills/water_phys_canghaifufanchen.tres,水术;玄水灭灵台;烟雨锁千川;沧海覆凡尘,90.0,20.0,120.0,24.0,110.0,28.0,220.0,32.0,118.0,5.5
res://resources/monster/test_monster_1.tres,test_monster_1,测试怪物1,3,0,100,,,res://resources/combat_skills/test_card_2.tres,测试卡2,,,,,,,,,,
res://resources/monster/test_monster_2.tres,test_monster_2,怪物2,1,0,200,,,,,,,,,,,,,,
res://resources/monster/treasurechest_cangbaoxieling.tres,treasurechest_cangbaoxieling,藏宝邪灵,1,0,130,,,res://resources/combat_skills/wood_magic_cuiwumansiye.tres;res://resources/combat_skills/wood_phys_chouzhi.tres;res://resources/combat_skills/wood_phys_gumuhanshanyue.tres;res://resources/combat_skills/wood_phys_manzhijiao.tres;res://resources/combat_skills/wood_phys_muji.tres;res://resources/combat_skills/wood_phys_wanzhiluanpuxi.tres,翠雾漫四野;抽枝;古木撼山岳;蔓枝绞;木击;万枝乱扑袭,120.0,22.0,220.0,24.0,170.0,30.0,280.0,30.0,120.0,4.5
res://resources/monster/treasurechest_mibaoshiying.tres,treasurechest_mibaoshiying,秘宝噬影,4,0,135,,,res://resources/combat_skills/earth_magic_houtufenglingmai.tres;res://resources/combat_skills/earth_magic_shachenlongtiandi.tres;res://resources/combat_skills/earth_phys_tuji.tres;res://resources/combat_skills/earth_phys_yanbeng.tres;res://resources/combat_skills/earth_phys_yanbengji.tres,厚土封灵脉;沙尘笼天地;土击;岩崩;岩崩击,120.0,20.0,280.0,40.0,,20.0,300.0,36.0,95.0,3.5
res://resources/monster/treasurechest_shouxianghuanling.tres,treasurechest_shouxianghuanling,守箱幻灵,2,0,110,,,res://resources/combat_skills/metal_phys_qianfengpodishi.tres;res://resources/combat_skills/metal_phys_qiege.tres;res://resources/combat_skills/metal_phys_ruifengji.tres;res://resources/combat_skills/metal_phys_suitiekuangji.tres;res://resources/combat_skills/wood_magic_tengxiang.tres,千锋破敌势;切割;锐锋击;碎铁狂击;藤响,120.0,28.0,240.0,36.0,70.0,15.0,180.0,24.0,97.0,4.0
res://resources/monster/tree_gulinshuren.tres,tree_gulinshuren,古林树人,1,0,130,,,,,120.0,22.0,220.0,24.0,160.0,,280.0,30.0,115.0,4.5
res://resources/monster/tree_kumujing.tres,tree_kumujing,枯木精,1,0,95,,,res://resources/combat_skills/wood_magic_cuiwumansiye.tres;res://resources/combat_skills/wood_magic_dutengyin.tres;res://resources/combat_skills/wood_magic_lingmushishengji.tres;res://resources/combat_skills/wood_phys_gumuhanshanyue.tres,翠雾漫四野;毒藤引;灵木噬生机;古木撼山岳,80.0,22.0,140.0,24.0,120.0,,200.0,30.0,105.0,4.5
res://resources/monster/tree_shutengmo.tres,tree_shutengmo,树藤魔,1,0,110,,,res://resources/combat_skills/wood_magic_dutengyin.tres;res://resources/combat_skills/wood_magic_lingmushishengji.tres;res://resources/combat_skills/wood_magic_mushu.tres;res://resources/combat_skills/wood_magic_qinglingzhou.tres;res://resources/combat_skills/wood_phys_manzhijiao.tres,毒藤引;灵木噬生机;木术;青灵咒;蔓枝绞,100.0,22.0,180.0,24.0,160.0,30.0,240.0,30.0,110.0,4.5
res://resources/monster/undergroundlake_anyuan_shuiling.tres,undergroundlake_anyuan_shuiling,暗渊水灵,3,0,100,,,res://resources/combat_skills/water_magic_hanxiyin.tres;res://resources/combat_skills/water_magic_langjue.tres;res://resources/combat_skills/water_magic_ningshuijue.tres;res://resources/combat_skills/water_magic_shuishu.tres,寒汐引;浪决;凝水诀;水术,70.0,20.0,120.0,24.0,120.0,28.0,180.0,32.0,120.0,5.5
res://resources/monster/undergroundlake_didi_youlinshou.tres,undergroundlake_didi_youlinshou,地底幽鳞兽,3,0,145,,,res://resources/combat_skills/earth_phys_panshizhuang.tres;res://resources/combat_skills/water_magic_ningshuijue.tres;res://resources/combat_skills/water_magic_shuishu.tres;res://resources/combat_skills/water_magic_xuanshuimielingtai.tres;res://resources/combat_skills/water_magic_yanyusuoqianchuan.tres;res://resources/combat_skills/water_phys_canghaifufanchen.tres;res://resources/combat_skills/water_phys_hanlangchong.tres,磐石撞;凝水诀;水术;玄水灭灵台;烟雨锁千川;沧海覆凡尘;寒浪冲,130.0,20.0,200.0,24.0,150.0,28.0,260.0,32.0,125.0,5.5
res://resources/monster/undergroundlake_xueju_shuixi.tres,undergroundlake_xueju_shuixi,穴居水蜥,3,0,115,,,res://resources/combat_skills/water_magic_langjue.tres;res://resources/combat_skills/water_magic_ningshuijue.tres;res://resources/combat_skills/water_magic_shuishu.tres;res://resources/combat_skills/water_magic_xuanshuimielingtai.tres;res://resources/combat_skills/water_magic_yanyusuoqianchuan.tres,浪决;凝水诀;水术;玄水灭灵台;烟雨锁千川,100.0,20.0,160.0,24.0,130.0,28.0,220.0,32.0,127.0,5.5
